표준코드	단축코드	한글종목명	한글종목약명	영문종목명	상장일	기초지수명	지수산출기관	추적배수	복제방법	기초시장분류	기초자산분류	상장좌수	운용사	CU수량	총보수	과세유형
KR7292340007	292340	DB 마이티 200커버드콜ATM레버리지증권상장지수투자신탁[주식-파생형]	마이티 200커버드콜ATM레버리지	DB Mighty KOSPI200 Covered Call ATM Leverage ETF	2018-03-20	코스피 200 커버드콜 ATM 지수	KRX	2X 레버리지 (2)	실물	국내	주식	600000	디비자산운용	100000	0.51	배당소득세(보유기간과세)
KR7159800002	159800	DB마이티K100증권상장지수투자신탁(주식)	마이티 코스피100	DB Mighty K100 ETF	2012-07-05	코스피 100	KRX	일반 (1)	실물	국내	주식	280000	디비자산운용	40000	0.39	비과세
KR7361580004	361580	KB KBSTAR 200 Total Return증권상장지수투자신탁(주식)	KBSTAR 200TR	KB KBSTAR 200 Total Return ETF	2020-08-21	코스피 200 TR	KRX	일반 (1)	실물	국내	주식	6150000	케이비자산운용	50000	0.012	배당소득세(보유기간과세)
KR7285000006	285000	KB KBSTAR 200IT증권상장지수투자신탁(주식)	KBSTAR 200IT	KB KBSTAR 200 Information Technology ETF	2017-12-08	코스피 200 정보기술	KRX	일반 (1)	실물	국내	주식	720000	케이비자산운용	20000	0.19	비과세
KR7287300008	287300	KB KBSTAR 200건설증권상장지수투자신탁(주식)	KBSTAR 200건설	KB KBSTAR 200 Constructions ETF	2017-12-22	코스피 200 건설	KRX	일반 (1)	실물	국내	주식	200000	케이비자산운용	20000	0.19	비과세
KR7287310007	287310	KB KBSTAR 200경기소비재증권상장지수투자신탁(주식)	KBSTAR 200경기소비재	KB KBSTAR 200 Consumer Discretionary ETF	2017-12-22	코스피 200 경기소비재	KRX	일반 (1)	실물	국내	주식	200000	케이비자산운용	20000	0.19	비과세
KR7290080001	290080	KB KBSTAR 200고배당커버드콜ATM증권상장지수투자신탁(주식-파생형)	KBSTAR 200고배당커버드콜ATM	KB KBSTAR 200 High Dividend Covered Call ATM ETF	2018-02-27	코스피 200 고배당커버드콜 ATM 지수(시장가격지수)	KRX	일반 (1)	실물	국내	주식	700000	케이비자산운용	50000	0.4	배당소득세(보유기간과세)
KR7284980000	284980	KB KBSTAR 200금융증권상장지수투자신탁(주식)	KBSTAR 200금융	KB KBSTAR 200 Financials ETF	2017-12-08	코스피 200 금융	KRX	일반 (1)	실물	국내	주식	320000	케이비자산운용	20000	0.19	비과세
KR7287320006	287320	KB KBSTAR 200산업재증권상장지수투자신탁(주식)	KBSTAR 200산업재	KB KBSTAR 200 Industrials ETF	2017-12-22	코스피 200 산업재	KRX	일반 (1)	실물	국내	주식	120000	케이비자산운용	20000	0.19	비과세
KR7287330005	287330	KB KBSTAR 200생활소비재증권상장지수투자신탁(주식)	KBSTAR 200생활소비재	KB KBSTAR 200 Consumer Staples ETF	2017-12-22	코스피 200 생활소비재	KRX	일반 (1)	실물	국내	주식	500000	케이비자산운용	20000	0.19	비과세
KR7252400007	252400	KB KBSTAR 200선물레버리지증권상장지수투자신탁(주식-파생형)	KBSTAR 200선물레버리지	KB KBSTAR 200 Futures Leverage ETF	2016-09-12	코스피 200 선물지수	KRX	2X 레버리지 (2)	실물	국내	주식	1100000	케이비자산운용	100000	0.6	배당소득세(보유기간과세)
KR7252420005	252420	KB KBSTAR 200선물인버스2X증권상장지수투자신탁(주식-파생형)	KBSTAR 200선물인버스2X	KB KBSTAR 200 Futures Inverse 2X ETF	2016-09-22	코스피 200 선물지수	KRX	2X 인버스 (-2)	실물	국내	주식	17400000	케이비자산운용	100000	0.6	배당소득세(보유기간과세)
KR7252410006	252410	KB KBSTAR 200선물인버스증권상장지수투자신탁(주식-파생형)	KBSTAR 200선물인버스	KB KBSTAR 200 Futures Inverse ETF	2016-09-12	코스피 200 선물지수	KRX	1X 인버스 (-1)	실물	국내	주식	4900000	케이비자산운용	100000	0.6	배당소득세(보유기간과세)
KR7284990009	284990	KB KBSTAR 200에너지화학증권상장지수투자신탁(주식)	KBSTAR 200에너지화학	KB KBSTAR 200 Energy & Chemicals ETF	2017-12-08	코스피 200 에너지/화학	KRX	일반 (1)	실물	국내	주식	360000	케이비자산운용	20000	0.19	비과세
KR7285010005	285010	KB KBSTAR 200중공업증권상장지수투자신탁(주식)	KBSTAR 200중공업	KB KBSTAR 200 Heavy Industries ETF	2017-12-08	코스피 200 중공업	KRX	일반 (1)	실물	국내	주식	540000	케이비자산운용	20000	0.19	비과세
