,분류,종목,추천일,목표일,매수저점,매수고점,목표가,손절가
0,목표,인포뱅크,2020-11-27,2021-03-22,7070,7830,8860,6490
1,목표,삼진,2020-11-27,2021-03-22,9020,10000,11300,8280
2,목표,진양산업,2020-11-29,2021-03-23,4195,4650,5260,3850
3,목표,아세아텍,2020-12-18,2021-04-16,2880,3190,3610,2645
4,목표,티플랙스,2020-12-11,2021-04-12,2865,3175,3590,2630
5,목표,포메탈,2020-12-22,2021-04-20,3765,4175,4720,3455
6,목표,서암기계공업,2020-12-25,2021-04-23,4955,5490,6210,4545
7,목표,서암기계공업,2020-12-25,2021-04-23,4955,5490,6210,4545
8,목표,서암기계공업,2020-12-25,2021-04-23,4955,5490,6210,4545
9,목표,휴네시온,2021-01-01,2021-04-28,5070,5620,6360,4655
10,목표,네오크레마,2021-01-01,2021-04-28,7790,8630,9760,7150
11,목표,동국알앤에스,2021-01-01,2021-04-28,2975,3295,3730,2730
12,종료,서암기계공업,2020-12-25,2021-04-23,4955,5490,"6,210","4,545"
13,종료,포메탈,2020-12-22,2021-04-20,3765,4175,"4,720","3,455"
14,목표,에스피시스템스,2021-01-08,2021-05-04,5830,6460,7310,5350
15,목표,오하임아이엔티,2021-01-08,2021-05-04,2225,2460,2785,2040
16,목표,흥국,2021-01-08,2021-05-06,5380,5960,6740,4935
17,목표,진양폴리,2021-01-11,2021-05-06,3290,3645,4125,3020
18,목표,로지시스,2021-01-15,2021-05-13,4295,4760,5380,3940
19,종료,아세아텍,2020-12-18,2021-04-16,2880,3190,"3,610","2,645"
20,목표,아세아텍,2021-01-22,2021-05-20,3110,3445,3900,2855
21,종료,에스피시스템스,2021-01-08,2021-05-04,5830,6460,"7,310","5,350"
22,목표,동국알앤에스,2021-01-28,2021-05-26,2985,3310,3745,2740
23,목표,포메탈,2021-01-29,2021-05-27,4005,4440,5020,3675
24,종료,오하임아이엔티,2021-01-08,2021-05-04,2225,2460,"2,785","2,040"
25,목표,삼일기업공사,2021-02-08,2021-06-04,3940,4365,4940,3615
26,목표,에스피시스템스,2021-02-08,2021-06-04,6510,7220,8160,5980
27,종료,에스피시스템스,2021-02-08,2021-06-04,6510,7220,"8,160","5,980"
28,종료,휴네시온,2021-01-01,2021-04-28,5070,5620,"6,360","4,655"
29,목표,오하임아이엔티,2021-02-19,2021-06-15,2750,3050,3450,2525
30,목표,에스피시스템스,2021-02-19,2021-06-15,6580,7290,8250,6040
31,목표,호텔신라우,2021-02-26,2021-07-06,74500,82600,94200,68400
32,목표,피제이메탈,2021-02-26,2021-06-23,2200,2435,2755,2020
33,목표,진양산업,2021-03-05,2021-06-28,3830,4245,4800,3515
34,목표,원풍,2021-03-05,2021-06-28,4095,4545,5140,3760
35,종료,동국알앤에스,2021-01-28,2021-05-26,2985,3310,"3,745","2,740"
36,종료,원풍,2021-03-05,2021-06-28,4095,4545,"5,140","3,760"
37,종료,진양산업,2021-03-05,2021-06-28,3830,4245,"4,800","3,515"
38,목표,오하임아이엔티,2021-03-10,2021-07-01,2730,3030,3425,2510
39,목표,프럼파스트,2021-03-12,2021-07-05,4195,4650,5260,3850
40,종료,피제이메탈,2021-02-26,2021-06-23,2200,2435,"2,755","2,020"
41,목표,삼일기업공사,2021-03-12,2021-07-05,4210,4670,5280,3865
42,종료,오하임아이엔티,2021-03-10,2021-07-01,2730,3030,"3,425","2,510"
43,목표,DSR,2021-03-18,2021-07-12,4870,5400,6110,4470
44,목표,한일네트웍스,2021-03-19,2021-07-12,5260,5820,6590,4820
45,목표,대성미생물,2021-03-19,2021-07-12,16500,18250,20850,15150
46,목표,안랩,2021-04-07,2021-07-29,65700,72800,83100,60300
47,목표,휴네시온,2021-04-16,2021-08-09,5890,6530,7450,5410
48,목표,DSR제강,2021-04-23,2021-08-16,5410,5990,6840,4960
49,목표,이퓨쳐,2021-04-23,2021-08-16,9830,10900,12400,9020
50,목표,DSR제강,2021-04-23,2021-08-16,5410,5990,6840,4960
51,목표,이퓨쳐,2021-04-23,2021-08-16,9830,10900,12400,9020
52,목표,싸이버원,2021-04-29,2021-08-20,15200,16850,19200,13950
53,목표,풍강,2021-05-03,2021-08-24,3910,4335,4945,3590
54,목표,DSR제강,2021-04-23,2021-08-16,5410,5990,6840,4960
55,목표,고려산업,2021-05-07,2021-08-27,4225,4685,5340,3880
56,종료,한창산업,2021-04-08,2021-07-30,7100,7870,"8,980","6,520"
57,목표,성우테크론,2021-05-12,2021-09-01,5130,5680,6480,4705
58,목표,성우테크론,2021-05-12,2021-09-01,5130,5680,6480,4705
59,목표,삼일기업공사,2021-05-13,2021-09-02,4815,5340,6090,4420
60,목표,포시에스,2021-05-14,2021-09-06,6880,7630,8700,6320
61,목표,DSR,2021-05-20,2021-09-08,6210,6880,7780,5700
62,종료,포시에스,2021-05-14,2021-09-06,6880,7630,"8,700","6,320"
63,목표,포메탈,2021-05-21,2021-09-09,4470,4955,5650,4100
64,종료,고려산업,2021-05-07,2021-08-27,4225,4685,"5,340","3,880"
65,종료,삼일기업공사,2021-05-13,2021-09-02,4815,5340,"6,090","4,420"
66,목표,풍강,2021-05-27,2021-09-15,4395,4870,5550,4035
67,목표,삼진,2021-05-28,2021-09-17,10800,11950,13650,9900
68,목표,DSR제강,2021-05-28,2021-09-17,5570,6180,7050,5120
69,목표,진양산업,2021-06-03,2021-10-11,5270,5840,6660,4835
70,목표,진양폴리,2021-06-04,2021-10-13,3540,3920,4475,3250
71,목표,케이엠,2021-06-06,2021-10-13,9610,10650,12150,8820
72,종료,티플랙스,2021-04-10,2021-08-03,3510,3890,"4,440","3,220"
73,종료,에스에이티,2021-05-21,2021-09-09,2785,3085,"3,515","2,555"
74,목표,세화피앤씨,2021-06-11,2021-10-05,3795,4210,4800,3485
75,종료,싸이버원,2021-04-29,2021-08-20,15200,16850,"19,200","13,950"
76,목표,제룡산업,2021-06-18,2021-10-12,8140,9020,10250,7470
77,목표,삼진,2021-05-28,2021-09-17,10800,11950,13650,9900
78,종료,DSR제강,2021-05-28,2021-09-17,5570,6180,"7,050","5,120"
79,종료,DSR,2021-05-20,2021-09-08,6210,6880,"7,780","5,700"
80,종료,포메탈,2021-05-21,2021-09-09,4470,4955,"5,650","4,100"
81,목표,성우테크론,2021-06-25,2021-10-19,5940,6580,7510,5450
82,목표,호텔신라우,2021-06-25,2021-10-19,83000,92100,105000,76200
83,종료,이퓨쳐,2021-04-23,2021-08-16,9830,10900,"12,400","9,020"
