,분류,name_x,추천일,목표일,매수저점,매수고점,목표가,손절가,cate,ticker,ismarket,startdate,name_y,finishdate,시작일_날짜,시작일_BPS,시작일_PER,시작일_PBR,시작일_EPS,시작일_DIV,시작일_DPS,시작일_ticker,시작일_index,종료일_날짜,종료일_BPS,종료일_PER,종료일_PBR,종료일_EPS,종료일_DIV,종료일_DPS,종료일_ticker
0,목표,인포뱅크,2020-11-27,2021-03-22,7070,7830,8860,6490,KOSDAQ,039290,1,2020-11-27,인포뱅크,2020-12-22,2020-11-27,6029.0,78.59,1.29,99.0,0.13,10.0,039290,,2020-12-22,6029.0,98.79,1.62,99.0,0.1,10.0,039290
1,목표,삼진,2020-11-27,2021-03-22,9020,10000,11300,8280,KOSDAQ,032750,1,2020-11-27,삼진,2020-12-24,2020-11-27,12767.0,5.0,0.79,2019.0,1.98,200.0,032750,,2020-12-24,12767.0,5.45,0.86,2019.0,1.82,200.0,032750
2,목표,삼진,2021-05-28,2021-09-17,10800,11950,13650,9900,KOSDAQ,032750,1,2021-05-28,삼진,,2021-05-28,13587.0,10.75,0.87,1102.0,1.69,200.0,032750,,,,,,,,,
3,목표,진양산업,2020-11-29,2021-03-23,4195,4650,5260,3850,KOSPI,003780,1,2020-11-29,진양산업,2021-01-05,,,,,,,,,,2021-01-05,3159.0,9.64,1.6,525.0,3.95,200.0,003780
4,목표,진양산업,2021-03-05,2021-06-28,3830,4245,4800,3515,KOSPI,003780,1,2021-03-05,진양산업,2021-03-09,2021-03-05,3159.0,8.35,1.39,525.0,4.56,200.0,003780,,2021-03-09,3159.0,8.72,1.45,525.0,4.37,200.0,003780
5,목표,진양산업,2021-06-03,2021-10-11,5270,5840,6660,4835,KOSPI,003780,1,2021-06-03,진양산업,2021-07-28,2021-06-03,3341.0,14.84,1.75,395.0,3.07,180.0,003780,,2021-07-28,3341.0,16.23,1.92,395.0,2.81,180.0,003780
6,목표,아세아텍,2020-12-18,2021-04-16,2880,3190,3610,2645,KOSDAQ,050860,1,2020-12-18,아세아텍,2021-06-03,2020-12-18,5637.0,52.5,0.56,60.0,1.59,50.0,050860,,2021-06-03,5637.0,71.17,0.76,60.0,1.17,50.0,050860
7,목표,아세아텍,2021-01-22,2021-05-20,3110,3445,3900,2855,KOSDAQ,050860,1,2021-01-22,아세아텍,,2021-01-22,5637.0,57.5,0.61,60.0,1.45,50.0,050860,,,,,,,,,
8,목표,티플랙스,2020-12-11,2021-04-12,2865,3175,3590,2630,KOSDAQ,081150,1,2020-12-11,티플랙스,2021-01-21,2020-12-11,4040.0,34.56,0.78,91.0,0.64,20.0,081150,,2021-01-21,4040.0,38.79,0.87,91.0,0.57,20.0,081150
9,목표,포메탈,2020-12-22,2021-04-20,3765,4175,4720,3455,KOSDAQ,119500,1,2020-12-22,포메탈,2021-01-07,2020-12-22,3776.0,22.42,1.1,186.0,1.44,60.0,119500,,2021-01-07,3776.0,25.08,1.24,186.0,1.29,60.0,119500
10,목표,포메탈,2021-01-29,2021-05-27,4005,4440,5020,3675,KOSDAQ,119500,1,2021-01-29,포메탈,2021-03-25,2021-01-29,3776.0,23.71,1.17,186.0,1.36,60.0,119500,,2021-03-25,3776.0,23.49,1.16,186.0,1.37,60.0,119500
11,목표,포메탈,2021-05-21,2021-09-09,4470,4955,5650,4100,KOSDAQ,119500,1,2021-05-21,포메탈,2021-06-23,2021-05-21,3863.0,33.46,1.29,149.0,1.2,60.0,119500,,2021-06-23,3863.0,37.92,1.46,149.0,1.06,60.0,119500
12,목표,포메탈,2021-07-09,2021-11-03,4560,5060,5770,4185,KOSDAQ,119500,1,2021-07-09,포메탈,,2021-07-09,3863.0,33.62,1.3,149.0,1.2,60.0,119500,,,,,,,,,
13,목표,서암기계공업,2020-12-25,2021-04-23,4955,5490,6210,4545,KOSDAQ,100660,1,2020-12-25,서암기계공업,2021-01-05,,,,,,,,,,2021-01-05,4891.0,38.84,1.37,173.0,0.74,50.0,100660
14,목표,휴네시온,2021-01-01,2021-04-28,5070,5620,6360,4655,KOSDAQ,290270,1,2021-01-01,휴네시온,2021-02-23,,,,,,,,,,2021-02-23,2478.0,33.85,2.55,187.0,0.55,35.0,290270
15,목표,휴네시온,2021-04-16,2021-08-09,5890,6530,7450,5410,KOSDAQ,290270,1,2021-04-16,휴네시온,2021-07-05,2021-04-16,2478.0,35.61,2.69,187.0,0.53,35.0,290270,,2021-07-05,2763.0,21.81,2.79,353.0,0.52,40.0,290270
16,목표,네오크레마,2021-01-01,2021-04-28,7790,8630,9760,7150,KOSDAQ,311390,1,2021-01-01,네오크레마,2021-06-08,,,,,,,,,,2021-06-08,5422.0,50.89,1.8,192.0,0.0,0.0,311390
17,목표,동국알앤에스,2021-01-01,2021-04-28,2975,3295,3730,2730,KOSDAQ,075970,1,2021-01-01,동국알앤에스,2021-01-08,,,,,,,,,,2021-01-08,4066.0,25.36,0.87,140.0,2.25,80.0,075970
18,목표,동국알앤에스,2021-01-28,2021-05-26,2985,3310,3745,2740,KOSDAQ,075970,1,2021-01-28,동국알앤에스,2021-03-08,2021-01-28,4066.0,23.64,0.81,140.0,2.42,80.0,075970,,2021-03-08,4066.0,28.82,0.99,140.0,1.98,80.0,075970
19,목표,에스피시스템스,2021-01-08,2021-05-04,5830,6460,7310,5350,KOSDAQ,317830,1,2021-01-08,에스피시스템스,2021-01-25,2021-01-08,3737.0,30.99,1.76,212.0,0.3,20.0,317830,,2021-01-25,3737.0,39.72,2.25,212.0,0.24,20.0,317830
20,목표,에스피시스템스,2021-02-08,2021-06-04,6510,7220,8160,5980,KOSDAQ,317830,1,2021-02-08,에스피시스템스,2021-02-18,2021-02-08,3737.0,34.48,1.96,212.0,0.27,20.0,317830,,2021-02-18,3737.0,36.08,2.05,212.0,0.26,20.0,317830
21,목표,에스피시스템스,2021-02-19,2021-06-15,6580,7290,8250,6040,KOSDAQ,317830,1,2021-02-19,에스피시스템스,2021-07-02,2021-02-19,3737.0,34.95,1.98,212.0,0.27,20.0,317830,,2021-07-02,3769.0,201.25,2.14,40.0,0.0,0.0,317830
